Movement,Kind,Sequential,units,optimizer,loss,batch_size,epochs,loss_value-mean_absolute_error-acc
all,FlexS vs ShoulderAng,<keras.models.Sequential object at 0x7f80e9955860>,9,nadam,mean_squared_error,10,300,"[0.02453635855723187, 0.10965650728651466, 0.5546764049502941]"
all,FlexS vs ShoulderAng,<keras.models.Sequential object at 0x7f80e9955a20>,9,nadam,mean_squared_error,20,300,"[0.043986839829717524, 0.1598731717912922, 0.5005072022722662]"
all,FlexS vs ShoulderAng,<keras.models.Sequential object at 0x7f80c6aa08d0>,9,nadam,mean_squared_error,32,300,"[0.04798898386352745, 0.16689785275299182, 0.5033475349969568]"
all,FlexS vs ShoulderAng,<keras.models.Sequential object at 0x7f80c65c0d68>,9,nadam,mean_squared_error,10,400,"[0.09945142864017052, 0.2097201169649663, 0.47555285047677015]"
all,FlexS vs ShoulderAng,<keras.models.Sequential object at 0x7f808b7e9a20>,9,nadam,mean_squared_error,20,400,"[0.05072243364977894, 0.14824824237417172, 0.5289105295191723]"
all,FlexS vs ShoulderAng,<keras.models.Sequential object at 0x7f808ab60f98>,9,nadam,mean_squared_error,32,400,"[0.049060552640215124, 0.14958949412770386, 0.5583282613106106]"
all,FlexS+IMUq vs ShoulderAng,<keras.models.Sequential object at 0x7f808ab52588>,11,nadam,mean_squared_error,10,300,"[0.01037223607817161, 0.07391247788448319, 0.6469872185027389]"
all,FlexS+IMUq vs ShoulderAng,<keras.models.Sequential object at 0x7f808a8a85f8>,11,nadam,mean_squared_error,20,300,"[0.010228320335537396, 0.07543778500666505, 0.6814769730168391]"
all,FlexS+IMUq vs ShoulderAng,<keras.models.Sequential object at 0x7f808a58bf98>,11,nadam,mean_squared_error,32,300,"[0.009138344277091722, 0.0698227282695897, 0.6713329275715155]"
all,FlexS+IMUq vs ShoulderAng,<keras.models.Sequential object at 0x7f808a262dd8>,11,nadam,mean_squared_error,10,400,"[0.01350049338297649, 0.08274162261710735, 0.5664434976668695]"
all,FlexS+IMUq vs ShoulderAng,<keras.models.Sequential object at 0x7f808a688f98>,11,nadam,mean_squared_error,20,400,"[0.010273739262103284, 0.07226445034620946, 0.6490160275918037]"
all,FlexS+IMUq vs ShoulderAng,<keras.models.Sequential object at 0x7f8089aadf60>,11,nadam,mean_squared_error,32,400,"[0.008719241948332354, 0.06651442824772391, 0.6488131466828971]"
all,IMUq vs ShoulderAng,<keras.models.Sequential object at 0x7f8089818da0>,4,nadam,mean_squared_error,10,300,"[0.008775373442005158, 0.0655865240838325, 0.5960641103672144]"
all,IMUq vs ShoulderAng,<keras.models.Sequential object at 0x7f8089509898>,4,nadam,mean_squared_error,20,300,"[0.008828360944469383, 0.06633878191662841, 0.5987015621829985]"
all,IMUq vs ShoulderAng,<keras.models.Sequential object at 0x7f808923f978>,4,nadam,mean_squared_error,32,300,"[0.009257845674295846, 0.06852265088680091, 0.5721241631162508]"
all,IMUq vs ShoulderAng,<keras.models.Sequential object at 0x7f8088fd8278>,4,nadam,mean_squared_error,10,400,"[0.008381695588447908, 0.06458676195720263, 0.5944410630959627]"
all,IMUq vs ShoulderAng,<keras.models.Sequential object at 0x7f8088fdb908>,4,nadam,mean_squared_error,20,400,"[0.008855439137934212, 0.06638890880313648, 0.6039764658145669]"
all,IMUq vs ShoulderAng,<keras.models.Sequential object at 0x7f8088a87dd8>,4,nadam,mean_squared_error,32,400,"[0.009190360753050462, 0.06787162746491164, 0.5792249949279773]"
all,PCA vs Shoulder,<keras.models.Sequential object at 0x7f80884e2320>,9,nadam,mean_squared_error,10,300,"[0.04613902616311, 0.15854605724613718, 0.48326232501521604]"
all,PCA vs Shoulder,<keras.models.Sequential object at 0x7f8088a61f28>,9,nadam,mean_squared_error,20,300,"[0.06787233757069397, 0.16631220104571506, 0.46053966321769124]"
all,PCA vs Shoulder,<keras.models.Sequential object at 0x7f807ff7e9b0>,9,nadam,mean_squared_error,32,300,"[0.029915148146687838, 0.12724393462888076, 0.5583282613106106]"
all,PCA vs Shoulder,<keras.models.Sequential object at 0x7f807fbca320>,9,nadam,mean_squared_error,10,400,"[0.05453073843666665, 0.18312450294430296, 0.48407384865084196]"
